,date_sold,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15
38,2/13/2015,240000,4,1.0,1220,8075,1.0,0,0,2,7,890,330,1969,0,98001,47.3341,-122.28200000000001,1290,7800
39,6/20/2014,605000,4,2.5,2620,7553,2.0,0,0,3,8,2620,0,1996,0,98056,47.5301,-122.18,2620,11884
40,7/15/2014,625000,4,2.5,2570,5520,2.0,0,0,3,9,2570,0,2000,0,98074,47.6145,-122.027,2470,5669
41,8/11/2014,775000,4,2.25,4220,24186,1.0,0,0,3,8,2600,1620,1984,0,98166,47.445,-122.34700000000001,2410,30617
42,7/7/2014,861990,5,2.75,3595,5639,2.0,0,0,3,9,3595,700,2014,0,98053,47.6848,-122.016,3625,5639
43,10/28/2014,685000,3,1.0,1570,2280,2.0,0,0,3,7,1570,0,1922,0,98119,47.6413,-122.36399999999999,1580,2640
44,7/29/2014,309000,3,1.0,1280,9656,1.0,0,0,4,6,920,360,1959,0,98058,47.4485,-122.175,1340,8808
45,7/18/2014,488000,3,2.5,3160,13603,2.0,0,0,3,8,3160,0,2003,0,98019,47.7443,-121.977,3050,9232
46,3/25/2015,210490,3,1.0,990,8528,1.0,0,0,3,6,990,0,1966,0,98023,47.3066,-122.37100000000001,1228,8840
47,7/16/2014,785000,4,2.5,2290,13416,2.0,0,0,4,9,2290,0,1981,0,98007,47.6194,-122.15100000000001,2680,13685
48,4/28/2015,450000,3,1.75,1250,5963,1.0,0,0,4,7,1250,0,1953,0,98115,47.6796,-122.301,970,5100
49,3/11/2015,1350000,3,2.5,2753,65005,1.0,1,2,5,9,2165,588,1953,0,98070,47.4041,-122.45100000000001,2680,72513
50,9/16/2014,228000,3,1.0,1190,9199,1.0,0,0,3,7,1190,0,1955,0,98148,47.4258,-122.322,1190,9364
51,2/17/2015,345000,5,2.5,3150,9134,1.0,0,0,4,8,1640,1510,1966,0,98056,47.4934,-122.189,1990,9133
52,12/31/2014,600000,3,1.75,1410,4080,1.0,0,0,4,7,1000,410,1950,0,98117,47.6808,-122.384,1410,4080
53,2/5/2015,585000,2,1.75,1980,8550,1.0,0,0,3,7,990,990,1981,0,98117,47.6989,-122.369,1480,6738
54,3/3/2015,920000,5,2.25,2730,6000,1.5,0,0,3,8,2130,600,1927,0,98105,47.6571,-122.281,2730,6000
55,5/12/2014,885000,4,2.5,2830,5000,2.0,0,0,3,9,2830,0,1995,0,98105,47.6597,-122.29,1950,5000
56,8/19/2014,292500,4,2.5,2250,4495,2.0,0,0,3,7,2250,0,2008,0,98042,47.3663,-122.11399999999999,2250,4500
57,4/7/2015,301000,3,2.5,2420,4750,2.0,0,0,3,8,2420,0,2003,0,98042,47.3663,-122.12200000000001,2690,4750
58,8/27/2014,951000,5,3.25,3250,14342,2.0,0,4,4,8,3250,0,1968,0,98008,47.588,-122.116,2960,11044
59,2/23/2015,430000,4,3.0,1850,9976,2.0,0,0,3,8,1850,0,1991,0,98059,47.5059,-122.149,2270,8542
60,12/10/2014,650000,3,2.25,2150,21235,1.0,0,3,4,8,1590,560,1959,0,98166,47.4336,-122.339,2570,18900
61,8/28/2014,289000,3,1.75,1260,8400,1.0,0,0,3,7,1260,0,1954,0,98148,47.4366,-122.335,1290,8750
62,10/21/2014,505000,3,1.75,2519,8690,2.0,0,0,5,8,2519,0,1973,0,98166,47.4428,-122.344,2500,9500
63,12/7/2014,549000,3,1.75,1540,1044,3.0,0,0,3,8,1540,0,2014,0,98115,47.6765,-122.32,1580,3090
64,6/3/2014,425000,3,2.25,1660,6000,1.0,0,0,3,7,1110,550,1979,0,98122,47.6113,-122.29700000000001,1440,4080
65,11/20/2014,317625,3,2.75,2770,3809,1.5,0,0,5,7,1770,1000,1925,0,98144,47.5747,-122.304,1440,4000
66,9/9/2014,975000,4,2.5,2720,11049,2.0,0,0,3,10,2720,0,1989,0,98004,47.5815,-122.19200000000001,2750,11049
67,10/9/2014,287000,4,2.5,2240,4648,2.0,0,0,3,7,2240,0,2005,0,98001,47.3378,-122.257,2221,4557
68,8/25/2014,204000,3,1.0,1000,12070,1.0,0,0,4,7,1000,0,1968,0,98042,47.3621,-122.11,1010,12635
69,6/12/2014,1330000,5,2.25,3200,20158,1.0,0,0,3,8,1600,1600,1965,0,98004,47.6303,-122.215,3390,20158
70,9/12/2014,1040000,5,3.25,4770,50094,1.0,0,0,4,11,3070,1700,1973,0,98005,47.6525,-122.16,3530,38917
71,1/5/2015,325000,3,2.0,1260,5612,1.0,0,0,4,7,1260,0,1972,0,98034,47.7362,-122.179,1640,4745
72,6/10/2014,571000,4,2.0,2750,7807,1.5,0,0,5,7,2250,500,1916,0,98125,47.7168,-122.287,1510,7807
73,7/10/2014,360000,4,2.5,2380,5000,2.0,0,0,3,8,2380,0,2005,0,98038,47.3608,-122.036,2420,5000
74,3/16/2015,349000,3,1.75,1790,50529,1.0,0,0,5,7,1090,700,1965,0,98042,47.3511,-122.073,1940,50529
75,11/5/2014,832500,4,4.0,3430,35102,2.0,0,0,4,10,2390,1040,1986,0,98075,47.5822,-121.98700000000001,3240,35020
76,10/13/2014,380000,4,1.75,1760,7300,1.0,0,0,3,7,880,880,1956,0,98008,47.6034,-122.125,1680,7500
77,4/20/2015,480000,3,1.0,1040,5060,1.0,0,0,3,7,1040,0,1941,0,98116,47.5636,-122.39399999999999,890,5060
78,6/9/2014,410000,3,1.0,1410,5060,1.0,0,0,4,7,910,500,1956,0,98133,47.7073,-122.34,1130,5693
79,3/23/2015,720000,4,2.5,3450,39683,2.0,0,0,3,10,3450,700,2002,0,98010,47.342,-122.025,3350,39750
80,12/2/2014,390000,3,2.5,2350,5100,2.0,0,0,3,8,2350,0,2003,0,98038,47.3512,-122.008,2350,5363
81,12/22/2014,360000,4,2.5,1900,5889,2.0,0,0,3,7,1900,0,1992,0,98038,47.349,-122.031,1870,6405
82,10/28/2014,355000,2,1.0,2020,6720,1.0,0,0,3,7,1010,1010,1948,0,98118,47.5474,-122.291,1720,6720
83,1/28/2015,356000,3,1.5,1680,8712,1.0,0,0,3,8,1680,0,1964,0,98059,47.4811,-122.149,1850,8797
84,6/2/2014,315000,3,1.0,960,6634,1.0,0,0,3,6,960,0,1952,0,98125,47.7264,-122.31,1570,7203
85,11/14/2014,940000,3,1.5,2140,3600,2.0,0,0,3,9,1900,240,1925,0,98119,47.6337,-122.365,2020,4800
86,11/3/2014,305000,5,2.25,2660,8400,1.5,0,0,5,7,2660,0,1961,0,98092,47.2909,-122.189,1590,8165
87,6/18/2014,461000,3,3.25,2770,6278,2.0,0,0,3,9,1980,790,2006,0,98056,47.5228,-122.199,1900,7349
88,5/19/2014,215000,2,2.25,1610,2040,2.0,0,0,4,7,1610,0,1979,0,98056,47.518,-122.194,1950,2025
89,9/4/2014,335000,2,1.75,1030,1066,2.0,0,0,3,7,765,265,2006,0,98136,47.5394,-122.387,1030,1106
90,5/22/2014,243500,4,2.5,1980,7403,2.0,0,0,3,7,1980,0,1988,0,98023,47.2897,-122.37200000000001,1980,7510
91,3/11/2015,1100000,5,2.75,3520,6353,2.0,0,0,4,10,3520,0,2001,0,98199,47.6506,-122.391,2520,6250
92,2/26/2015,153000,3,1.0,1200,10500,1.0,0,0,3,7,1200,0,1962,0,98023,47.321999999999996,-122.351,1350,10500
93,7/25/2014,430000,3,1.5,1580,5000,1.0,0,0,3,8,1290,290,1939,0,98117,47.687,-122.38600000000001,1570,4500
94,12/23/2014,700000,3,1.5,1580,5000,1.0,0,0,3,8,1290,290,1939,0,98117,47.687,-122.38600000000001,1570,4500
95,9/8/2014,905000,4,2.5,3300,10250,1.0,0,0,3,7,2390,910,1946,1991,98040,47.5873,-122.249,1950,6045
96,3/30/2015,247500,3,1.75,1960,15681,1.0,0,0,3,7,1960,0,1967,0,98032,47.3576,-122.277,1750,15616
97,9/12/2014,199000,4,1.5,1160,6400,1.0,0,0,4,7,1160,0,1975,0,98023,47.3036,-122.37799999999999,1160,6400
98,7/11/2014,314000,3,1.75,1810,41800,1.0,0,0,5,7,1210,600,1980,0,98038,47.4109,-121.958,1650,135036
99,5/16/2014,437500,3,2.5,2320,36847,2.0,0,2,3,9,2320,0,1992,0,98045,47.4838,-121.714,2550,35065
100,6/11/2014,850830,3,2.5,2070,13241,1.5,0,0,5,9,1270,800,1910,0,98102,47.6415,-122.315,2200,4500
101,10/27/2014,555000,3,2.0,1980,3478,1.5,0,0,4,7,1440,540,1929,0,98117,47.6775,-122.37200000000001,1610,3478
102,12/12/2014,699950,3,2.25,2190,107593,2.0,0,0,4,8,2190,0,1983,0,98077,47.7731,-122.08,2570,47777
103,10/7/2014,1090000,3,2.5,2920,8113,2.0,0,0,3,8,2920,0,1950,2010,98004,47.5814,-122.196,2370,8113
104,9/24/2014,290000,3,1.0,1210,33919,1.0,0,0,3,7,1210,0,1954,0,98058,47.4375,-122.184,1640,14910
105,4/2/2015,375000,3,2.5,2340,10005,1.0,0,0,4,8,1460,880,1978,0,98058,47.4431,-122.133,2250,8162
106,5/23/2014,460000,3,1.0,1670,4005,1.5,0,0,4,7,1170,500,1939,0,98117,47.6878,-122.38,1240,4005
107,7/23/2014,188500,2,1.75,1240,2493,1.0,0,0,4,8,1240,0,1985,0,98198,47.3813,-122.322,1270,4966
108,3/5/2015,680000,4,2.5,3140,28037,2.0,0,0,4,10,3140,0,1991,0,98077,47.7304,-122.08200000000001,2990,35001
109,8/27/2014,470000,5,1.75,2030,12342,2.0,0,0,4,7,2030,0,1942,0,98052,47.6417,-122.109,2500,9433
110,7/25/2014,597750,4,2.5,2310,9624,2.0,0,0,3,8,2310,0,1984,0,98027,47.5386,-122.053,1940,9636
111,3/4/2015,570000,3,1.75,1260,3328,1.0,0,0,5,6,700,560,1905,0,98103,47.6823,-122.34899999999999,1380,3536
112,9/16/2014,272500,3,1.75,1540,12600,1.0,0,0,4,7,1160,700,1980,0,98038,47.3624,-122.031,1540,11656
113,11/24/2014,329950,3,1.75,2080,5969,1.0,0,2,3,7,1080,1000,1971,0,98108,47.5474,-122.295,2090,5500
115,11/21/2014,740500,3,3.5,4380,6350,2.0,0,0,3,8,2780,700,1900,0,98117,47.6981,-122.368,1830,6350
116,6/26/2014,518500,3,3.5,1590,1102,3.0,0,0,3,8,1590,0,2010,0,98103,47.6824,-122.34700000000001,1620,3166
117,6/23/2014,205425,2,1.0,880,6780,1.0,0,0,4,6,880,0,1945,0,98178,47.5009,-122.24799999999999,1190,6780
118,1/8/2015,171800,4,2.0,1570,9600,1.0,0,0,3,6,1570,0,1950,0,98168,47.4965,-122.303,1880,9000
119,5/11/2015,535000,4,1.0,1610,2982,1.5,0,0,4,7,1610,0,1925,0,98144,47.586999999999996,-122.294,1610,4040
120,1/2/2015,660000,3,2.5,2400,6474,1.0,0,2,3,8,1560,840,1964,0,98177,47.7728,-122.38600000000001,2340,10856
121,11/19/2014,391500,3,2.0,1450,9132,1.0,0,0,3,7,1450,0,1987,0,98034,47.7288,-122.226,1580,9104
122,4/6/2015,395000,2,1.0,770,6000,1.0,0,0,3,6,770,0,1953,0,98117,47.6999,-122.36399999999999,1710,6000
123,11/4/2014,445000,4,1.75,2100,4400,1.5,0,0,5,7,1720,380,1924,0,98118,47.5299,-122.266,1850,4400
124,6/18/2014,770000,3,2.25,2910,10204,2.0,0,0,3,9,2910,0,1990,0,98052,47.6897,-122.098,2700,13992
125,3/2/2015,1450000,4,2.75,2750,17789,1.5,0,0,3,8,1980,770,1914,1992,98004,47.6141,-122.212,3060,11275
126,7/17/2014,445000,3,2.25,2100,8201,1.0,0,2,3,8,1620,480,1967,0,98178,47.5091,-122.244,2660,8712
127,7/17/2014,260000,4,2.25,2160,8811,1.0,0,0,3,8,1360,800,1978,0,98023,47.3129,-122.39,2090,8400
128,6/13/2014,822500,5,3.5,2320,4960,2.0,0,0,5,7,1720,600,1926,0,98103,47.6763,-122.352,1700,4960
130,1/5/2015,212000,3,1.75,1060,7875,1.0,0,0,4,7,1060,0,1986,0,98092,47.2761,-122.152,1420,7680
131,4/28/2015,660500,4,2.25,2010,9603,1.0,0,0,3,8,1440,570,1986,0,98027,47.5343,-122.054,2060,9793
132,6/12/2014,784000,3,3.5,3950,111078,1.5,0,0,3,9,2460,1490,1989,0,98052,47.696999999999996,-122.072,2480,88500
133,5/12/2014,453246,3,2.5,2010,2287,2.0,0,0,3,8,1390,620,2014,0,98029,47.5517,-121.99799999999999,1690,1662
134,1/26/2015,675000,4,3.5,2140,2278,3.0,0,0,3,9,2140,0,2005,0,98107,47.6734,-122.38,1540,2285
135,8/13/2014,199000,3,1.75,1320,17390,1.0,0,0,4,7,1320,0,1956,0,98003,47.3257,-122.296,1550,19265
136,8/5/2014,220000,4,1.75,2020,7840,1.0,0,0,3,7,1010,1010,1968,0,98003,47.3309,-122.29899999999999,1750,8140
137,5/29/2014,452000,4,2.25,2590,10002,1.0,0,0,4,8,1340,1250,1968,0,98028,47.7689,-122.266,1550,10436
138,7/7/2014,382500,2,1.0,1190,4440,1.0,0,0,3,6,1190,0,1981,0,98125,47.7135,-122.287,1060,5715
139,5/7/2014,519950,3,2.25,1170,1249,3.0,0,0,3,8,1170,0,2014,0,98107,47.6722,-122.381,1350,1310
140,6/27/2014,665000,2,1.0,1110,3200,1.0,0,0,3,7,1110,0,1925,0,98119,47.6338,-122.35799999999999,1170,3600
141,7/8/2014,527700,5,2.5,2820,9375,1.0,0,0,4,8,1550,1270,1968,0,98006,47.5707,-122.12799999999999,2820,9375
142,5/8/2015,205000,3,1.0,1610,8579,1.0,0,0,4,7,1010,600,1962,0,98058,47.4563,-122.171,1610,8579
143,4/15/2015,420000,3,1.0,1060,8097,1.0,0,0,4,7,940,120,1923,0,98133,47.7144,-122.351,1560,7940
144,2/27/2015,500000,4,2.25,2030,8517,1.0,0,0,4,8,1380,650,1961,0,98006,47.5495,-122.17399999999999,2230,8824
145,12/3/2014,921500,4,2.5,3670,315374,2.0,0,0,4,9,3670,0,1994,0,98077,47.7421,-122.02600000000001,2840,87991
146,6/25/2014,890000,4,1.0,2550,4000,2.0,0,0,3,8,2370,180,1905,0,98109,47.6354,-122.353,2200,4000
147,8/6/2014,430000,2,2.5,2420,60984,2.0,0,0,3,7,2420,0,2007,0,98027,47.5262,-121.943,1940,193842
148,10/30/2014,258000,5,2.0,2260,12500,1.0,0,0,4,8,1130,1130,1960,0,98032,47.3887,-122.286,1360,18000
149,11/4/2014,511000,3,1.0,1430,3455,1.0,0,0,3,7,980,450,1947,0,98103,47.6873,-122.336,1450,4599
150,8/20/2014,532170,3,2.0,1360,3090,2.0,0,0,3,8,1360,0,1990,0,98103,47.6838,-122.353,1500,3090
151,4/9/2015,560000,3,1.0,1110,5000,1.5,0,0,3,7,1110,0,1947,0,98107,47.655,-122.359,1420,5000
152,3/31/2015,282950,3,1.0,1250,8200,1.0,0,0,4,7,1250,0,1954,0,98003,47.3255,-122.304,1680,8633
153,4/1/2015,2250000,4,3.25,5180,19850,2.0,0,3,3,12,3540,1640,2006,0,98006,47.562,-122.162,3160,9750
154,5/16/2014,350000,1,1.0,700,5100,1.0,0,0,3,7,700,0,1942,0,98115,47.678999999999995,-122.3,1010,5100
155,7/28/2014,215000,3,1.0,1180,7669,1.0,0,0,4,7,1180,0,1967,0,98058,47.4479,-122.176,1190,7669
156,11/20/2014,650000,5,3.5,3960,25245,2.0,0,0,3,9,2500,1460,1996,0,98056,47.525,-122.17200000000001,2640,13675
157,8/7/2014,320000,4,2.75,2640,7500,1.0,0,0,3,8,1620,1020,1967,0,98023,47.3135,-122.369,1980,7875
158,11/13/2014,247000,3,2.0,1270,7198,1.5,0,0,3,7,1270,0,1916,2013,98022,47.2086,-121.99600000000001,1160,7198
159,10/3/2014,320000,4,1.75,1760,11180,1.0,0,0,4,8,1760,0,1968,0,98059,47.4715,-122.118,1730,11180
160,5/7/2014,255000,5,2.25,2060,8632,1.0,0,0,3,7,1030,1030,1962,0,98146,47.4877,-122.335,1010,11680
161,3/9/2015,438000,3,1.75,1780,9660,1.0,0,0,3,7,1780,0,1962,0,98034,47.7171,-122.193,1200,9660
162,3/4/2015,900000,3,2.5,3400,16603,2.0,0,0,3,10,3400,0,2000,0,98075,47.6012,-122.023,3400,12601
163,6/20/2014,441000,3,2.75,1910,7280,1.0,0,0,3,7,1160,750,1979,0,98034,47.7319,-122.22399999999999,1710,8152
164,8/12/2014,420000,3,2.0,2020,38332,1.0,0,0,4,7,1010,1010,1975,0,98027,47.4582,-122.023,2110,36590
165,12/8/2014,370000,3,1.75,1580,7000,1.0,0,0,3,7,1180,400,1976,0,98034,47.7209,-122.16799999999999,1640,7500
166,2/19/2015,269950,2,1.75,1340,7250,1.0,0,0,5,5,700,640,1949,0,98198,47.408,-122.32700000000001,1830,9750
167,3/24/2015,807100,4,2.5,2680,4499,2.0,0,0,3,9,2680,0,1999,0,98006,47.565,-122.125,2920,4500
168,6/5/2014,653000,3,2.5,2680,9750,1.0,0,0,4,8,1610,1070,1979,0,98034,47.7028,-122.23100000000001,2480,8750
169,6/11/2014,371500,3,2.0,1370,8336,1.0,0,0,5,7,1370,0,1964,0,98133,47.7458,-122.331,1770,7288
170,3/16/2015,284000,3,1.75,1560,21000,1.0,0,0,3,7,1560,0,1954,0,98166,47.4776,-122.337,1070,7920
171,1/2/2015,272000,3,1.75,2160,7140,1.0,0,0,4,7,1670,490,1978,0,98023,47.3026,-122.374,1930,7350
172,5/2/2014,313000,3,1.5,1340,7912,1.5,0,0,3,7,1340,0,1955,0,98133,47.7658,-122.339,1480,7940
173,1/16/2015,917500,4,2.5,3880,35003,2.0,0,0,3,10,2570,1310,1984,0,98033,47.6477,-122.182,3740,35230
174,9/29/2014,673000,4,2.25,2590,8190,2.0,0,0,4,8,2590,0,1980,0,98006,47.5619,-122.125,2260,8335
175,2/10/2015,425000,3,2.5,1120,1100,2.0,0,0,3,8,820,300,2008,0,98122,47.6106,-122.31,1590,1795
176,7/9/2014,399950,5,2.75,1970,5400,1.0,0,0,3,7,1320,650,1986,0,98144,47.5868,-122.30799999999999,1280,2150
177,5/30/2014,385000,3,1.0,1220,4800,1.0,0,0,3,6,1220,0,1901,0,98122,47.6101,-122.307,1200,4800
178,11/17/2014,269950,3,1.5,1950,7560,1.0,0,2,4,7,1320,630,1975,0,98022,47.1976,-121.999,1950,8941
179,1/7/2015,330000,2,1.0,1350,8220,1.0,0,0,3,7,1060,290,1949,0,98177,47.7224,-122.35799999999999,1540,8280
180,7/25/2014,260000,3,2.5,1670,5797,2.0,0,0,3,7,1670,0,1988,0,98030,47.3505,-122.179,1670,6183
181,4/14/2015,470000,4,3.0,2380,5125,1.5,0,0,4,7,1680,700,1925,0,98126,47.5384,-122.376,1410,5375
182,6/13/2014,589000,4,3.0,2440,9600,2.0,0,0,5,7,2440,0,1961,0,98034,47.7044,-122.2,2290,9600
183,7/23/2014,163500,2,1.5,1050,3419,2.0,0,0,3,7,1050,0,1996,0,98038,47.3848,-122.039,1050,3417
184,9/5/2014,835000,4,2.75,3130,13412,2.0,0,0,3,9,2140,990,1993,0,98052,47.6993,-122.102,2260,9984
185,11/21/2014,1100000,5,3.0,4090,12850,1.0,0,2,4,10,2090,2000,1986,0,98033,47.6627,-122.18799999999999,2540,10270
186,4/15/2015,269000,4,1.75,1490,10000,1.0,0,0,4,8,1100,390,1969,0,98023,47.3099,-122.37899999999999,2190,8910
187,5/5/2014,560000,3,2.5,1900,8744,2.0,0,0,3,8,1900,0,1987,0,98074,47.62,-122.04299999999999,2030,8744
188,4/18/2015,615000,4,1.0,1330,2400,1.5,0,0,4,6,1330,0,1901,0,98103,47.65,-122.34,1330,4400
189,12/5/2014,585188,3,2.25,2230,10026,1.0,0,0,3,8,1430,800,1975,0,98052,47.6647,-122.15299999999999,2230,9340
190,8/18/2014,305000,3,1.75,1650,9480,1.0,0,0,3,7,1220,430,1977,0,98034,47.726000000000006,-122.191,1540,8400
191,11/5/2014,166950,3,1.0,1190,8820,1.0,0,0,3,6,1190,0,1959,0,98058,47.4616,-122.184,1230,7980
192,9/12/2014,799000,3,2.5,2140,9897,1.0,0,0,4,8,2140,0,1959,0,98040,47.5505,-122.219,2680,10083
193,6/25/2014,400000,3,2.5,2180,7508,1.0,0,0,4,7,1420,760,1962,0,98133,47.7606,-122.336,1900,7818
194,12/1/2014,230000,3,1.0,1060,10228,1.0,0,0,3,7,1060,0,1948,0,98155,47.7481,-122.3,1570,10228
195,5/15/2014,256883,3,2.5,1690,5025,2.0,0,0,3,8,1690,0,2003,0,98023,47.2779,-122.34700000000001,2550,5001
196,11/11/2014,423000,4,2.0,1970,6480,1.5,0,0,5,7,1130,840,1920,0,98108,47.5511,-122.31200000000001,1500,6480
197,7/23/2014,465000,3,2.5,2150,4084,2.0,0,0,3,8,2150,0,2007,0,98126,47.5488,-122.37200000000001,1750,2385
198,1/13/2015,440000,3,2.5,1910,66211,2.0,0,0,3,7,1910,0,1997,0,98024,47.5385,-121.911,2330,67268
199,10/14/2014,385000,3,1.75,1350,155073,1.0,0,0,4,7,1350,0,1969,0,98038,47.4058,-121.994,1560,50965
200,3/11/2015,210000,3,1.0,860,11725,1.0,0,0,4,6,860,0,1943,0,98056,47.5093,-122.184,1300,9514
201,11/12/2014,297000,3,2.5,1940,14952,2.0,0,0,3,8,1940,0,1994,0,98042,47.3777,-122.165,2030,10450
202,7/16/2014,470000,3,1.0,1010,5000,1.0,0,0,3,7,1010,0,1952,0,98107,47.675,-122.39399999999999,1680,5000
203,8/4/2014,226500,3,1.5,1300,7370,1.0,0,0,4,7,900,400,1976,0,98023,47.3025,-122.37,1430,7500
204,3/3/2015,274250,3,1.0,910,8450,1.0,0,0,4,6,910,0,1962,0,98059,47.4787,-122.15799999999999,1400,8040
206,9/19/2014,677900,3,2.5,2440,4587,2.0,0,0,3,8,2440,0,2010,0,98052,47.7073,-122.11399999999999,2750,4587
207,2/5/2015,425000,3,1.0,1010,5864,1.0,0,0,3,7,1010,0,1915,0,98116,47.5733,-122.381,1290,5000
208,11/23/2014,180250,2,0.75,900,9600,1.0,0,0,3,6,900,0,1941,0,98166,47.4604,-122.339,1250,14280
209,7/17/2014,464000,6,3.0,2300,3404,2.0,0,0,3,7,1600,700,1920,1994,98133,47.7067,-122.34299999999999,1560,1312
210,4/22/2015,320000,4,2.25,1550,7579,2.0,0,0,3,8,1550,0,1993,0,98038,47.354,-122.04700000000001,1630,6397
211,7/17/2014,625504,3,2.25,1270,1566,2.0,0,0,3,8,1060,210,2014,0,98105,47.6647,-122.28399999999999,1160,1327
